procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  1   3840 1544360 1009504 5936820    0    0     0    44 54876 78400  1  2 96  1  0
 2  0   3840 1685424 1009504 5936828    0    0     0   264 54572 78115  4  4 92  0  0
 0  0   3840 1691368 1009504 5936832    0    0     0     0 52379 73806  1  2 97  0  0
 1  0   3840 1701172 1009504 5936840    0    0     0     8 55229 79379  2  3 96  0  0
 0  0   3840 1706420 1009504 5936844    0    0     0    56 54414 77788  1  2 97  0  0
 1  0   3840 1710368 1009512 5936844    0    0     0   188 54175 77262  1  2 96  0  0
 1  0   3840 1709396 1009512 5936860    0    0     0    12 54929 78794  1  2 96  0  0
 1  0   3840 1714668 1009512 5936864    0    0     0     8 55016 78600  1  2 97  0  0
 0  0   3840 1717064 1009512 5936868    0    0     0    16 54771 78426  1  2 97  0  0
 2  0   3840 1717648 1009516 5936872    0    0     0   208 55539 79989  1  2 96  0  0
 0  0   3840 1725708 1009516 5936932    0    0     0     4 56964 78293  3  2 95  0  0
 1  0   3840 1722180 1009516 5936936    0    0     0     0 54240 77459  1  2 97  0  0
 1  0   3840 1719964 1009516 5936944    0    0     0     0 54536 78132  1  2 97  0  0
 0  0   3840 1717120 1009516 5936948    0    0     0    16 54683 78252  1  2 97  0  0
 1  0   3840 1725492 1009524 5936944    0    0     0   328 54856 78970  1  2 96  0  0
 0  0   3840 1724344 1009524 5936972    0    0     0   108 54987 78880  1  2 97  0  0
 1  0   3840 1727176 1009524 5936976    0    0     0     0 54550 77891  1  2 97  0  0
 3  0   3840 1723920 1009524 5936980    0    0     0     4 55205 79195  1  2 97  0  0
 0  0   3840 1729424 1009524 5936984    0    0     0    12 55157 78998  1  2 97  0  0
 0  0   3840 1732648 1009528 5936988    0    0     0    64 54760 78181  1  2 97  0  0
 2  0   3840 1732284 1009528 5937000    0    0     0    72 54629 78383  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0   3840 1726624 1009528 5937004    0    0     0     0 55855 80550  1  2 97  0  0
 2  0   3840 1724344 1009528 5937008    0    0     0     0 53954 77124  1  2 97  0  0
 0  0   3840 1718948 1009528 5937016    0    0     0     8 56503 82151  1  2 96  0  0
 1  0   3840 1719996 1009528 5937024    0    0     0    48 54051 77252  1  2 96  0  0
 0  0   3840 1724536 1009528 5937092    0    0     0     0 54418 78182  1  2 97  0  0
 1  0   3840 1722048 1009528 5937096    0    0     0    64 54758 78745  1  2 96  0  0
 0  0   3840 1720608 1009528 5937104    0    0     0     4 54992 78626  1  2 97  0  0
 0  0   3840 1726112 1009528 5937108    0    0     0    16 54790 78255  1  2 97  0  0
 0  0   3840 1722640 1009532 5937108    0    0     0    60 53573 75647  1  2 96  0  0
 1  0   3840 1721928 1009532 5937120    0    0     0     0 54733 77931  1  2 97  0  0
 1  0   3840 1717564 1009532 5937128    0    0     0    76 54768 78717  1  2 97  0  0
 1  0   3840 1722632 1009532 5937132    0    0     0     4 57226 78908  3  2 95  0  0
 1  0   3840 1725648 1009532 5937144    0    0     0     8 54856 78891  1  2 97  0  0
 0  0   3840 1723580 1009536 5937144    0    0     0    40 54697 78357  1  2 96  0  0
 0  0   3840 1720368 1009548 5937468    0    0     0   176 54457 77710  1  2 97  0  0
 0  0   3840 1729608 1009548 5937160    0    0     0    52 56236 81425  1  2 97  0  0
 1  0   3840 1727988 1009548 5937164    0    0     0     4 56865 83171  1  2 97  0  0
 1  0   3840 1727244 1009548 5937172    0    0     0    12 54648 78185  1  2 97  0  0
 0  0   3840 1726792 1009548 5937176    0    0     0     4 54966 78386  1  2 97  0  0
 1  0   3840 1727532 1009548 5937180    0    0     0    72 54441 77624  1  2 97  0  0
 1  0   3840 1729580 1009548 5937188    0    0     0    56 54683 78311  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0   3840 1724980 1009548 5937196    0    0     0     0 54437 77461  1  2 97  0  0
