sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss  iTLB_miss  dTLB_miss  elapsed_ms
31   784135589   464436682     9179630       83585978             4768932        480635    4190548   121223     321794     100
31   1568661718  582722444     11897146      110047517            7708589        770392    11608907  299913     555325     100
31   1454792812  1097642894    23282489      219847809            6314631        1124111   23447381  281401     426178     100
31   1308805052  2489529692    25634945      360361177            6038420        593409    39710771  168915     587013     100
32   1307125274  627927912     15628943      139955182            4711563        605091    20931119  276631     819590     100
32   1408501358  1523649979    34770921      306113148            8806482        1128834   23770627  509922     733839     100
32   2628976690  2725428739    27382955      273720412            11337004       1132762   36045228  1068456    1066852    100
32   2508551121  2198934813    27018606      421749001            9729881        763969    35087305  293882     2997945    100
32   838637840   558252641     15760474      126464099            3179913        594272    15022935  219563     586465     100
32   730068413   535084452     13454047      105412885            4041594        590733    12394814  293955     639238     100
32   1097551216  551241915     11385685      100586994            3456942        580209    11986535  324145     616142     100
32   1145363550  1319468256    20728402      180251808            4279243        846459    22990786  439527     686738     100
32   1203965405  1708568184    23617911      307634947            5229387        621603    35909980  291142     552729     100
32   1052094958  756661031     23435814      153524153            5682773        952399    18233371  477331     726046     100
33   562134805   570904947     16230870      129067939            2950085        580487    15091581  224081     583873     100
33   3221783082  3404290666    19447735      392224844            18874687       1544421   32348180  1655378    726448     100
33   976706673   919146419     23489410      230439053            5851683        954798    18422718  442547     742058     100
33   1036632276  711061546     24322305      151647153            6738559        900738    15806565  505180     806281     100
33   698345830   658785882     18016409      132994645            4504402        813626    13863147  467729     694509     100
33   828703198   881125709     20545425      223612864            5278246        625731    20704568  428629     746730     100
33   1121401758  1283489769    17942701      266586525            4384626        471897    28644376  165465     408742     100
33   953278121   770945053     21753133      169165311            6181342        982320    19039295  432755     728518     100
33   1233459399  720577967     25874199      172792320            7076987        1137101   19088212  539304     786319     100
33   1023410583  871155176     24475062      187363248            6369332        661327    13689810  390320     708955     100
34   896813608   741410168     20252733      152434279            4297407        697023    13725974  212269     536937     100
34   3566140338  4944060265    21959214      394678090            19748711       1536979   32864118  1639648    800547     100
34   919800985   710247258     11003982      125242605            3320466        483294    18211468  229397     615302     100
34   815096128   440183845     14078064      85420716             3849803        1047118   12614797  299954     567303     100
34   927538913   1512742212    18066378      269917001            5150104        599387    30760928  373802     624002     100
34   767022771   1137049943    16897351      241523055            3778933        401752    25478849  253773     501670     100
34   1071014343  1122306083    27432423      220155060            7860200        1007782   22225347  412481     752974     100
34   1182175763  761769827     16046635      204649552            7886880        907558    17348019  321363     645826     100
34   1102475399  595605134     14707278      169143802            7403483        988077    19276352  366162     827017     100
34   1295895736  866543734     18493664      164168697            7126610        787522    17909408  269975     615996     100
35   4399296776  3051964758    28858767      648343897            21867598       836736    42645924  300290     3181006    100
35   3826827930  3994761855    21544342      418632008            22185940       1720436   31896829  1790212    836124     100
35   1638777246  2724755115    14952332      277028869            5490135        1055711   20800044  219192     599226     100
35   907285403   1347701872    16707823      312361685            3157050        191004    25182182  34412      262019     100
35   633275223   589423077     15972584      127823767            3386126        528809    17884195  172048     403111     100
35   616641604   630846290     15646903      140562573            3172249        572678    14835428  204319     500862     100
35   945159190   743031431     21133955      162609419            4412292        722137    18998283  275824     1430201    100
35   1055972375  773190084     17739326      157889791            6184623        799747    15627790  251081     784291     100
35   954424371   865643532     20939203      189268034            6388462        795637    18634480  296152     1470993    100
