sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss   iTLB_miss  dTLB_miss  elapsed_ms
23   211229379   111021369     3964831       13225295             1290485        158354    1285963    122886     174257     100
23   217492220   74755831      3950467       20368887             1875219        213531    2039131    100616     88364      100
23   170355355   72081530      2820069       15669290             1329194        169583    1221093    76895      85815      100
23   128111752   36724586      1208324       11910575             961664         113045    921706     34827      24259      100
23   144840089   58243267      1684923       9364310              1110966        122771    953597     48012      51167      100
23   134192123   41085598      756659        7613135              962285         102748    916245     51160      46536      100
23   288944540   161579566     3259859       20543917             1218516        148020    1262327    70317      79092      100
23   467059654   152848995     3144016       34265423             3301756        278896    1913063    88517      82012      100
23   115324997   38949027      1310436       9035320              925522         114221    923327     35347      50200      100
24   122260673   28806245      430997        7616133              733764         75462     929530     50562      32800      100
24   149775476   89179367      2394581       13599645             807084         78830     550915     25392      24589      100
24   121098018   33183321      1086493       8923002              808289         90006     862006     42309      60126      100
24   149661302   54610543      1899007       10892883             996310         86585     801673     20357      30127      100
24   290633371   300614222     2447132       56587807             1927952        264827    4871810    46528      36880      100
24   136775561   50878597      1237080       13028029             1144252        151719    1190150    57878      43123      100
24   165003819   40634006      1792929       9787739              1001377        99148     911716     28060      30600      100
24   120325967   33862285      1118840       7762612              823442         82442     637256     25686      24989      100
24   296504088   141617029     1969235       22033521             1700932        97614     748000     47803      34711      100
24   173947187   61898179      2246806       25099982             1062435        140078    1091554    44687      48884      100
25   162890257   52618926      1937232       11634937             940887         101482    761721     24228      30769      100
25   139926763   43648917      1042415       9055152              930522         96850     950510     56703      50953      100
25   134530128   41046916      1179248       8031915              892907         89655     859972     30026      41981      100
25   401490167   159487390     7591831       37906627             3020748        359705    2670653    213702     162362     100
25   348003855   222489321     4232327       35750307             1706022        191392    1517098    91095      76560      100
25   229237998   146648138     5286631       25493367             2223485        220131    1542077    95940      83964      100
25   192178245   126521886     3754240       18328888             1439465        202542    1559075    122178     88968      100
25   147056292   55150020      1796472       13268727             998612         107226    838422     50545      37283      100
25   165245200   195076308     5437045       66444074             5027498        429302    4404709    145861     108603     100
25   3742555259  3908162151    24714385      723508052            19887503       789717    40939109   467644     3223107    100
26   794256323   438684542     6967418       61049308             3549414        291451    3388718    80580      109925     100
26   585806730   151388085     4692529       40686975             4011942        432498    3088295    185989     152090     100
26   245695510   81066311      3599343       17165867             1571924        174172    1503445    92431      123584     100
26   291984659   153504926     5976822       31113190             2348266        288793    2935020    160218     219170     100
26   460770725   402475982     7094045       106032628            3420164        273351    5550182    118314     80878      100
26   1891159663  1941884805    17097904      173730814            9635663        955159    21426318   1010683    585008     100
26   833319255   278667222     8359810       74011940             4596587        468342    3588218    223624     264561     100
26   615983255   360224922     10002417      117575733            5786991        549773    3579589    157520     132632     100
26   676316288   197009100     4929349       42757766             3578917        310994    3192237    182395     337698     100
26   412872598   310935774     8846382       72573876             3475194        428510    3682721    158864     225754     100
27   803536103   198865383     5471242       43152657             4356308        411843    3149134    172481     237785     100
27   664428507   232667486     9300363       52121168             4478551        384664    2884509    118274     167893     100
27   442177348   389447165     4551615       48499029             3622483        253516    4631601    115695     170786     100
27   645793944   147503690     3967328       26371305             2980490        287865    1841314    114345     132407     100
27   333081213   126165881     4332894       29949869             2660866        275489    1633242    104668     77539      100
27   417627476   101205502     5014601       19020924             1741532        252463    1987606    149367     167493     100
27   549003413   314321134     9879967       80336011             4025074        325092    9503001    68993      175031     100
27   686435696   544613351     11067365      124835384            4570948        478498    10237816   262126     263260     100
27   663335618   223434105     3857858       54128368             4946463        416007    3689586    248297     257537     100
28   489449052   616763894     6801010       112570156            2848877        399283    2784394    187542     254582     100
28   210592464   69635714      3160461       30103218             1585268        208097    3193475    205586     217365     100
28   164450292   61734233      2619658       11666796             1433823        173793    2086564    89491      139115     100
