Linux 6.8.0-59-generic (superlzx) 	2025年05月16日 	_x86_64_	(16 CPU)

15时39分37秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15时42分53秒     all      1.04      0.00      1.76      0.00      0.00     97.20
15时42分54秒     all      0.91      0.00      2.34      0.00      0.00     96.75
15时42分55秒     all      1.10      0.00      2.14      0.00      0.00     96.75
15时42分56秒     all      5.63      0.00      3.95      0.00      0.00     90.42
15时42分57秒     all      1.50      0.00      2.34      0.13      0.00     96.03
15时42分58秒     all      1.10      0.00      2.27      0.00      0.00     96.62
15时42分59秒     all      0.98      0.00      2.08      0.00      0.00     96.94
15时43分00秒     all      1.04      0.00      2.27      0.00      0.00     96.69
15时43分01秒     all      4.22      0.00      3.96      0.26      0.00     91.57
15时43分02秒     all      1.56      0.00      2.15      0.00      0.00     96.29
15时43分03秒     all      2.08      0.00      2.93      0.00      0.00     94.99
15时43分04秒     all      1.83      0.00      2.88      0.00      0.00     95.29
15时43分05秒     all      0.45      0.00      0.51      0.00      0.00     99.04
15时43分06秒     all      0.77      0.00      0.83      0.00      0.00     98.40
15时43分07秒     all      0.58      0.00      0.58      0.58      0.00     98.27
15时43分08秒     all      0.39      0.00      0.58      0.00      0.00     99.04
15时43分09秒     all      3.70      0.00      2.17      0.00      0.00     94.13
15时43分10秒     all      0.38      0.00      0.51      0.00      0.00     99.10
15时43分11秒     all      0.45      0.00      0.77      0.00      0.00     98.78
15时43分12秒     all      0.64      0.00      0.45      0.32      0.00     98.59
15时43分13秒     all      0.91      0.00      2.41      0.00      0.00     96.68
15时43分14秒     all      2.48      0.00      2.41      0.00      0.00     95.11
15时43分15秒     all      1.11      0.00      2.08      0.00      0.00     96.81
15时43分16秒     all      3.95      0.00      3.88      0.00      0.00     92.17
15时43分17秒     all      1.50      0.00      2.41      0.33      0.00     95.77
15时43分18秒     all      1.16      0.00      2.39      0.45      0.00     95.99
15时43分19秒     all      0.98      0.00      1.96      0.00      0.00     97.07
15时43分20秒     all      1.50      0.00      2.93      0.00      0.00     95.58
15时43分21秒     all      3.88      0.00      3.49      0.00      0.00     92.63
15时43分22秒     all      1.23      0.00      2.14      0.00      0.00     96.63
15时43分23秒     all      1.04      0.00      2.27      0.58      0.00     96.11
15时43分24秒     all      0.78      0.00      2.34      0.00      0.00     96.88
15时43分25秒     all      1.04      0.00      2.07      0.00      0.00     96.89
15时43分26秒     all      0.97      0.00      2.40      0.00      0.00     96.62
15时43分27秒     all      0.97      0.00      2.27      0.00      0.00     96.75
15时43分28秒     all      5.76      0.00      4.40      0.65      0.00     89.20
15时43分29秒     all      5.20      0.00      3.71      0.00      0.00     91.09
15时43分30秒     all      0.98      0.00      2.21      0.00      0.00     96.81
15时43分31秒     all      5.97      0.00      3.76      0.00      0.00     90.27
15时43分32秒     all      1.50      0.00      2.47      0.00      0.00     96.03
15时43分33秒     all      0.91      0.00      2.08      0.00      0.00     97.01
15时43分34秒     all      0.98      0.00      2.08      0.00      0.00     96.94
15时43分35秒     all      1.23      0.00      2.40      0.00      0.00     96.37
15时43分36秒     all      0.91      0.00      1.95      0.00      0.00     97.14
15时43分37秒     all      1.17      0.00      2.47      0.00      0.00     96.36
15时43分38秒     all      5.41      0.00      4.30      4.95      0.00     85.33
15时43分39秒     all      5.93      0.00      5.02      5.22      0.00     83.83
15时43分40秒     all      1.30      0.00      4.04      5.48      0.00     89.18
15时43分41秒     all      0.98      0.00      3.19      5.92      0.00     89.92
15时43分42秒     all      1.30      0.00      3.25      5.66      0.00     89.79
15时43分43秒     all      1.57      0.00      2.94      5.56      0.00     89.93
15时43分44秒     all      1.24      0.00      3.06      5.66      0.00     90.05
15时43分45秒     all      1.24      0.00      3.19      5.92      0.00     89.65
15时43分46秒     all      1.51      0.00      3.40      5.82      0.00     89.27
15时43分47秒     all      1.24      0.00      2.81      5.81      0.00     90.14
15时43分48秒     all      2.68      0.00      2.94      5.56      0.00     88.82
15时43分49秒     all      1.17      0.00      4.16      5.40      0.00     89.26
15时43分50秒     all      3.32      0.00      4.30      5.93      0.00     86.44
15时43分51秒     all      2.69      0.00      3.34      5.76      0.00     88.21
15时43分52秒     all      1.50      0.00      3.06      5.67      0.00     89.77
15时43分53秒     all      1.30      0.00      3.06      5.80      0.00     89.84
15时43分54秒     all      1.17      0.00      3.44      5.46      0.00     89.93
15时43分55秒     all      1.17      0.00      3.13      5.87      0.00     89.82
15时43分56秒     all      0.98      0.00      2.81      5.62      0.00     90.58
